,country,year,iso_code,population,co2,co2_growth_prct,co2_per_capita,co2_per_gdp,coal_co2,consumption_co2,gas_co2,oil_co2,oil_co2_per_capita,temperature_change_from_co2,total_ghg,trade_co2
346,Africa,1924,0,157523780.0,30.631,5.462,0.194,0.0,30.126,0.0,0.0,0.505,0.003,0.007,0.0,0.0
347,Africa,1925,0,159481926.0,32.185,5.072,0.202,0.0,31.624,0.0,0.0,0.561,0.004,0.007,0.0,0.0
348,Africa,1926,0,161469210.0,34.438,7.001,0.213,0.0,33.903,0.0,0.0,0.535,0.003,0.007,0.0,0.0
349,Africa,1927,0,163486087.0,33.841,-1.734,0.207,0.0,33.269,0.0,0.0,0.572,0.003,0.007,0.0,0.0
350,Africa,1928,0,165533025.0,34.77,2.747,0.21,0.0,33.815,0.0,0.0,0.828,0.005,0.008,0.0,0.0
351,Africa,1929,0,167612506.0,35.802,2.966,0.214,0.0,34.59,0.0,0.0,0.846,0.005,0.008,0.0,0.0
352,Africa,1930,0,169924067.0,33.696,-5.882,0.198,0.0,32.555,0.0,0.0,0.88,0.005,0.008,0.0,0.0
353,Africa,1931,0,171875191.0,29.464,-12.559,0.171,0.0,28.307,0.0,0.0,0.89,0.005,0.008,0.0,0.0
354,Africa,1932,0,174050964.0,26.623,-9.642,0.153,0.0,25.355,0.0,0.0,0.835,0.005,0.009,0.0,0.0
355,Africa,1933,0,176265430.0,28.491,7.018,0.162,0.0,27.29,0.0,0.0,0.736,0.004,0.009,0.0,0.0
356,Africa,1934,0,178512860.0,32.539,14.208,0.182,0.0,31.324,0.0,0.0,0.682,0.004,0.009,0.0,0.0
357,Africa,1935,0,180793768.0,35.91,10.358,0.199,0.0,34.743,0.0,0.0,0.557,0.003,0.01,0.0,0.0
358,Africa,1936,0,183108678.0,39.016,8.651,0.213,0.0,37.765,0.0,0.0,0.561,0.003,0.01,0.0,0.0
359,Africa,1937,0,185458104.0,41.844,7.249,0.226,0.0,40.582,0.0,0.0,0.535,0.003,0.01,0.0,0.0
360,Africa,1938,0,187842584.0,44.013,5.183,0.234,0.0,42.56,0.0,0.0,0.703,0.004,0.011,0.0,0.0
361,Africa,1939,0,190381812.0,46.853,6.452,0.246,0.0,43.957,0.0,0.11,2.056,0.011,0.011,0.0,0.0
362,Africa,1940,0,193306256.0,49.649,5.968,0.257,0.0,46.039,0.0,0.092,2.865,0.015,0.012,0.0,0.0
363,Africa,1941,0,195943401.0,54.023,8.81,0.276,0.0,49.442,0.0,0.099,3.763,0.019,0.012,0.0,0.0
364,Africa,1942,0,198975492.0,58.823,8.884,0.296,0.0,54.304,0.0,0.106,3.642,0.018,0.013,0.0,0.0
365,Africa,1943,0,202181814.0,60.12,2.204,0.297,0.0,55.237,0.0,0.117,3.957,0.02,0.013,0.0,0.0
366,Africa,1944,0,205448384.0,66.633,10.834,0.324,0.0,61.371,0.0,0.131,4.162,0.02,0.014,0.0,0.0
367,Africa,1945,0,208776384.0,67.527,1.342,0.323,0.0,62.303,0.0,0.136,4.151,0.02,0.014,0.0,0.0
368,Africa,1946,0,212172008.0,68.159,0.936,0.321,0.0,62.938,0.0,0.135,3.942,0.019,0.015,0.0,0.0
369,Africa,1947,0,215621479.0,67.935,-0.33,0.315,0.0,62.415,0.0,0.136,4.104,0.019,0.016,0.0,0.0
370,Africa,1948,0,219141050.0,71.733,5.591,0.327,0.0,64.359,0.0,0.139,5.811,0.027,0.016,0.0,0.0
371,Africa,1949,0,223001287.0,77.324,7.793,0.347,0.0,68.58,0.0,0.14,7.072,0.032,0.017,0.0,0.0
372,Africa,1950,0,227549730.0,93.452,20.859,0.411,0.304,68.711,0.0,0.004,22.723,0.1,0.018,0.0,0.0
373,Africa,1951,0,232484439.0,99.862,6.859,0.43,0.31,72.305,0.0,0.004,25.284,0.109,0.018,0.0,0.0
